Diet,Country,Protein 
Non-Vegetarian,Sweden,8
Non-Vegetarian,Sweden,7.7
Vegetarian,Sweden,5.3
Vegetarian,Sweden,4.9
Non-Vegetarian,Sweden,7.2
Non-Vegetarian,Sweden,8.4
Vegetarian,India,7.6
Non-Vegetarian,India,7.8
Vegetarian,India,7
Vegetarian,Sweden,5.9
Vegetarian,Sweden,5.4
Vegetarian,India,7.7
Non-Vegetarian,Sweden,8.2
Non-Vegetarian,Sweden,7.2
Vegetarian,India,7
Non-Vegetarian,India,7.3
Vegetarian,Sweden,5.6
Non-Vegetarian,India,7.2
Non-Vegetarian,Sweden,8.3
Non-Vegetarian,Sweden,8.1
Non-Vegetarian,India,7.3
Vegetarian,India,7.3
Vegetarian,Sweden,6.2
Non-Vegetarian,Sweden,7.2
Vegetarian,India,7.3
Non-Vegetarian,Sweden,8.3
Non-Vegetarian,Sweden,8.4
Vegetarian,India,7.1
Vegetarian,India,7.7
Vegetarian,India,7.9
Non-Vegetarian,India,6.4
Vegetarian,Sweden,5.6
Non-Vegetarian,India,7.3
Non-Vegetarian,India,6.9
Vegetarian,India,8.3
Non-Vegetarian,Sweden,7.9
Non-Vegetarian,Sweden,8.2
Vegetarian,India,7.1
Non-Vegetarian,India,6.8
Vegetarian,Sweden,5.4
Vegetarian,India,6.9
Vegetarian,Sweden,6.1
Vegetarian,Sweden,6.4
Non-Vegetarian,India,7.8
Vegetarian,India,8
Vegetarian,India,7.6
Vegetarian,Sweden,5.5
Non-Vegetarian,Sweden,8.5
Non-Vegetarian,India,7.4
